SampleCode,ShortName,LongName,ParentSample,DateProduced,Feedstock,Researcher/Student,GroupLab,PyrolysisType,Temp(C),ProcessDetails,UnitType,Capacity(mg/g),BET(m2/g),pH,Yield (%),PoreSize(units),PoreVolume(units),%C,%H,%N,%O,Density ,Hydrophobicity ,Notes,Published?
acbc0101,,SW biochar 450C (2-4 kg/h) shaving,,,Softwood,,Kelly,,,,100g US,,,,,8.725,,,,,,,,,
acbc0102,,456-50-ex,,,,,Kelly,Fast,456,,100g US,,,,, ,,,,,,,,,
acbc0103,,HW or SW? biochar 470C (1 tpd),,,,,Kelly,Fast,470,,100g US,,,,,,,,,,,,,,
acbc0104,,SW BC 475?,,,Softwood,,Kelly,Fast,,,100g US,,0.0013,,,2.150,0.001300,,,,,,,,
acbc0105,,SW biochar 2-4 dust,,,Softwood,,Kelly,Fast,500,,100g US,,0.0383,,,4.360,0.038250,,,,,,,,
acbc0106,,SW500,,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,,,,,,,,
acbc0107,,SW500,,,Softwood,,Kelly,Fast,500,,100g US,,0.0330,,,6.800,0.033000,,,,,,,,
acbc0108,,30/20/24 (V),,,,,Kelly,Fast,500,,100g US,,0.0080,,,4.890,0.008000,,,,,,,,
acbc0109,,30/20/24 (III),,,,,Kelly,Fast,500,,100g US,,0.0080,,,4.750,0.008000,,,,,,,,
acbc0110,,HW biochar 450C (2-4 kg/h),,,Hardwood,,Kelly,Fast,500,,100g US,,,,,,,,,,,,,,
acbc0111,,BK biochar 450C (2-4 kg/h),,,Bark,,Kelly,Fast,500,,100g US,,,,,,,,,,,,,,
acbc0112,,HW or SW sieved sawdust (< 2mm) 470 1 TPD,,,Sawdust,,Kelly,Fast,500,,100g US,,,,,,,,,,,,,,
acbc0113,,SW 500,,,Softwood,,Kelly,,500,,100g US,,,,,4.360,,,,,,,,,
acbc0114,,525-50-in,,,,,Kelly,Fast,525,,100g US,,,,,,,,,,,,,,
acbc0115,,525-300-in,,,,,Kelly,Fast,525,,100g US,,,,,,,,,,,,,,
acbc0116,,SW500 w/o reg,,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,,,,,,,,
acbc0117,,SW500 w/ reg,,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,,,,,,,,
acbc0118,,SW-Bark 450,,,Softwood,,Kelly,,450,,100g US,,,,,6.990,,,,,,,,,
acbc0119,,SW-Act500,,,Softwood,,Kelly,Fast,500,,100g US,,0.1590,,,3.110,0.159000,,,,,,,,
acbc0120,,AM-,,,,,Kelly,Fast,500,,100g US,,,,,7.200,,,,,,,,,
acbc0121,,AM-Act,,,,,Kelly,Fast,500,,100g US,,0.1330,,,2.970,0.133000,,,,,,,,
acbc0122,,APTES,,,APTES,,Kelly,Fast,500,,100g US,,0.0260,,,3.890,0.026000,,,,,,,,
acbc0123,,APTES-Act,,,APTES,,Kelly,Fast,500,,100g US,,0.1600,,,3.080,0.160000,,,,,,,,
acbc0124,,SW 500,,,Softwood,,Kelly,,,,100g US,,,,,,,,,,,,,,
acbc0125,,SW 500 Anaconda_2019,,,Softwood,,Kelly,,,,100g US,,0.0120,,,5.110,0.012000,,,,,,,,
acbc0126,,Sawdust ,,,Sawdust,,Kelly,,,,100g US,,5.4000,,,6.500,5.400000,,,,,,,,
acbc0127,,S-255-40,,,Sawdust,,Kelly,,,,100g US,,6.9000,,,6.500,6.900000,,,,,,,,
acbc0128,,S-325-40,,,Sawdust,,Kelly,,,,100g US,,8.2000,,,6.700,8.200000,,,,,,,,
acbc0129,,Bark ,,,Bark,,Kelly,,,,100g US,,4.4000,,,6.400,4.400000,,,,,,,,
acbc0130,,B-255-40,,,Bark,,Kelly,,,,100g US,,11.5000,,,9.600,11.500000,,,,,,,,
acbc0131,,B-325-40,,,Bark,,Kelly,,,,100g US,,11.9000,,,9.000,11.900000,,,,,,,,
acbc0132,,Bark ,,,Bark,,Kelly,,,,100g US,,4.4000,,,6.400,4.400000,,,,,,,,
